,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
3455,2231,3658,1027,24,1065,1646,8171,8526,1,0
7281,3678,2051,1732,355,932,1006,7642,5300,1,1
5909,1730,2549,1317,216,723,1421,5697,7042,1,0
9880,2518,28,1228,217,9,268,8671,5198,1,1
6117,1483,78,1705,1235,590,732,3891,9667,1,1
1315,3168,3703,2471,1383,520,990,5270,6051,1,0
2335,1438,333,1663,36,242,335,3525,6183,1,1
3646,485,2723,1545,774,1341,1302,2015,5458,1,0
3470,2313,3647,1102,213,217,2,8371,289,1,0
8117,3318,2899,1672,786,4,7,5972,3221,1,1
5544,427,460,1785,212,7,995,2978,2644,1,1
9945,3829,3474,1231,1272,855,335,7851,7581,1,0
3443,1058,1981,1630,117,837,1764,1155,9139,1,0
9777,527,3402,1735,1030,720,1006,1523,9564,1,0
5478,903,650,1986,19,1376,1644,123,8550,1,0
4894,261,2373,1865,7,721,22,3703,3391,1,1
6507,542,691,1639,1064,142,436,2278,8039,1,0
8725,3237,1727,1217,923,1077,62,6498,4034,1,0
1453,2968,849,112,126,996,731,9692,1664,1,1
1833,2121,3236,1171,1234,939,1002,7626,2131,1,0
2678,4466,3460,345,969,453,20,9944,6734,1,1
624,1163,2019,1491,16,211,542,1895,7720,1,0
3061,697,2082,1852,7,6,981,1025,840,1,1
6651,1767,2582,773,476,1231,14,6025,4496,1,0
3011,1584,2185,1482,1236,940,994,4677,3046,1,1
6458,544,273,1335,949,113,179,1988,6347,1,1
8734,3713,1810,970,2,22,269,8169,6865,1,0
5140,1275,700,1639,2,637,612,2276,8152,1,0
1957,3236,2363,1044,1370,68,369,5567,6550,1,1
9729,584,3116,1515,26,2,1005,1249,3032,1,0
5903,794,3622,2123,1449,312,340,102,6557,1,0
2701,4449,3328,400,6,29,10,9926,2436,1,1
5129,3428,2087,1802,16,9,12,6701,2050,1,1
1155,1905,2879,1346,27,4,13,6628,1593,1,0
439,2748,2871,1784,647,406,1461,9293,6631,1,1
6141,2564,3955,622,650,744,1914,8965,3996,1,0
2807,868,1491,1702,566,346,1297,699,7076,1,0
8817,269,4065,1557,1378,111,795,2597,9156,1,0
2794,764,1520,1321,20,31,999,1270,1904,1,0
4922,306,2538,1740,19,0,1303,3345,5801,1,0
8168,163,2309,1587,5,348,1005,4231,1701,1,1
4031,3842,2625,1706,640,721,7,8122,2817,1,1
4328,3454,2117,1623,851,838,5,6797,7953,1,1
532,2377,4130,1936,1456,346,1210,8613,3959,1,0
1513,1416,1851,1568,439,451,1205,2153,6494,1,0
9968,1429,1757,1339,378,677,1501,2608,8162,1,0
8919,3929,415,1492,777,733,11,8473,3129,1,1
5640,604,321,1770,13,930,1290,1745,3815,1,1
6454,3296,190,1641,772,744,992,6185,68,1,1
6021,4239,1497,1228,20,307,1404,9349,6402,1,1
1981,2487,342,2343,1001,1178,1325,8500,4542,1,1
8533,2474,2085,1247,30,751,12,8598,967,1,1
2388,2441,3350,1108,207,28,30,8631,3193,1,0
8251,3149,179,2167,251,910,1899,5577,9933,1,1
6599,807,1044,1556,771,210,18,743,3857,1,0
2545,1405,851,1801,784,206,539,3098,8003,1,0
7618,579,3815,2497,1125,1128,1511,1557,6446,1,0
647,3581,448,2490,783,1395,1513,7701,7598,1,1
765,695,662,1821,219,530,1543,1304,8138,1,0
4170,156,1683,1615,783,747,1541,5269,7085,1,0
8967,3500,1241,1559,5,26,999,7325,1183,1,1
1121,2600,1943,948,410,1089,1,8866,4552,1,1
5168,634,281,1803,11,445,27,1526,5202,1,1
8282,582,3005,1619,791,753,1024,1328,9844,1,0
9076,4496,305,41,26,1232,415,9996,5574,1,1
5123,3241,2119,1794,762,21,6,5844,2240,1,1
2088,1227,392,2209,1452,670,280,1859,6340,1,0
4942,312,2748,1624,0,220,981,3196,1603,1,0
8157,885,3605,604,932,708,974,1086,9999,1,0
7313,651,2602,1813,969,11,18,1104,5862,1,0
8281,432,3178,1655,729,130,416,2216,2563,1,0
7008,45,1310,1836,20,737,265,5651,5592,1,0
5882,1368,349,1577,369,352,646,3103,7622,1,1
1851,2284,2895,265,241,269,711,8292,8225,1,1
6977,1738,2624,326,294,1366,51,6061,9539,1,0
6043,1456,1879,1579,322,755,214,2107,8564,1,0
8316,1611,3707,612,341,653,203,5730,4654,1,0
5381,1688,732,1482,6,471,1633,4983,3272,1,1
9254,1782,3984,900,20,5,996,6623,1764,1,0
1558,2755,4083,429,728,357,1908,9392,4010,1,0
9490,2329,588,1321,207,23,981,8112,558,1,1
8942,763,524,1357,1285,777,50,731,4210,1,0
8752,3831,1789,1170,369,219,1296,8461,6715,1,0
2771,2871,44,1420,1460,1318,790,9521,9785,1,1
2684,4464,3432,337,0,29,27,9942,5296,1,1
3995,3320,3673,1228,769,725,725,5544,8887,1,0
3017,1595,2378,1660,767,17,29,4777,5529,1,0
8132,3345,3156,1517,771,25,259,5989,6128,1,0
3524,248,657,1672,480,204,23,4112,1072,1,1
9928,3961,3486,2188,1222,815,1324,8455,4945,1,1
3438,751,1960,1505,792,1065,1631,634,7115,1,1
4295,3327,504,1582,218,30,422,6382,5975,1,1
5898,1588,1112,947,287,793,1704,4312,9114,1,0
1482,2130,2294,1590,13,24,1430,7466,6817,1,1
7318,2649,3793,1557,1045,315,1869,9108,7105,1,0
2025,1356,71,1645,958,354,263,3093,7286,1,1
6029,3101,1282,382,903,941,1295,9863,7650,1,1
6148,692,975,2193,987,1165,456,1594,7564,1,0
14,1028,192,1483,29,2,7,941,701,1,1
6547,51,2666,1539,762,1245,416,4738,6709,1,1
7578,3567,1453,1683,13,15,9,7617,1885,1,0
2907,762,2261,2045,1121,353,80,624,4331,1,0
9245,1816,4027,910,18,929,983,6811,388,1,0
6560,3199,2604,1726,212,8,5,5444,189,1,1
8301,3148,3059,1508,203,22,11,4957,1186,1,0
568,1040,282,2030,361,14,24,826,1599,1,0
621,1092,55,1605,215,7,1647,1329,8826,1,0
1183,1686,324,1572,1002,146,648,5100,4603,1,1
576,1121,2017,1644,767,30,417,1545,7176,1,0
1277,3870,2990,1131,214,205,996,8113,2637,1,1
8541,2764,1982,1510,25,1159,259,9305,3599,1,1
623,1700,2111,1866,792,1152,1644,5250,7822,1,1
3984,3612,2956,1678,769,6,5,7245,2311,1,1
2377,2243,3354,1122,1115,25,110,8120,4479,1,0
3787,3206,3127,1569,564,732,1726,5278,9263,1,0
7006,3372,1476,2057,844,1160,124,7034,4833,1,0
1076,2059,3450,853,879,132,677,7515,8720,1,0
4342,3262,2120,1708,3,15,266,5928,6676,1,1
5157,515,192,1602,11,733,1288,2243,3442,1,1
3605,3282,2928,1920,1414,1118,11,5826,3185,1,1
8264,1253,3817,1183,208,19,1,3462,392,1,0
2516,1972,2362,1474,31,731,1013,6793,5107,1,1
1512,1388,1841,1576,270,524,1015,2019,4844,1,0
2932,739,35,625,34,1230,781,470,8762,1,1
2515,2004,2287,1589,207,1,998,6900,2795,1,1
1156,1860,2805,1344,202,15,14,6390,1560,1,0
655,4215,2264,813,776,763,414,9211,6101,1,1
2067,2811,3751,678,589,348,1955,9459,4090,1,1
2970,1216,2001,1659,765,8,255,2157,5701,1,0
6505,3795,519,889,727,56,22,8045,1570,1,1
761,963,547,1714,23,9,1422,336,6670,1,0
