temp,pressure,proximity,r,g,b,a,accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left,side
29.480,100.432,252,37,25,25,72,-0.2972,0.1471,0.9272,-3.6011,-0.1831,1.0376,1,0,0,0,0
29.480,100.434,252,37,25,25,72,-0.2872,0.1298,0.9333,-1.6479,-0.4272,-1.6479,1,0,0,0,0
29.490,100.428,251,37,25,25,72,-0.2944,0.1432,0.9406,1.3428,7.5073,3.6621,1,0,0,0,0
29.490,100.432,250,37,25,25,72,-0.2799,0.1385,0.9528,-2.8687,6.3477,1.7090,1,0,0,0,0
29.490,100.432,251,38,26,25,74,-0.2125,0.1556,1.0375,15.3198,75.8667,12.0850,1,0,0,0,0
29.460,100.362,251,38,25,26,76,-0.0089,0.0979,0.9232,-1.5869,90.4541,-4.6387,0,0,1,0,0
29.460,100.429,251,39,25,26,76,0.0542,0.1183,1.0358,-26.1230,29.1748,-8.0566,0,1,0,0,0
29.470,100.427,252,39,26,26,77,0.2068,0.0555,0.9043,15.1367,70.9229,-19.4702,0,1,0,0,0
29.480,100.425,251,37,24,25,73,0.3374,0.0875,0.9701,-13.9771,-9.8877,25.2075,0,1,0,0,0
29.470,100.427,248,36,23,24,72,0.4279,0.1368,0.7468,28.5034,66.2842,34.5459,0,1,0,0,0
29.460,100.433,250,33,20,21,65,0.4745,0.1758,0.8181,-17.7612,-5.0659,31.4331,0,1,0,0,0
29.450,100.420,250,33,21,21,65,0.4320,0.1029,0.8295,-20.0195,13.4888,-10.0708,0,1,0,0,0
29.460,100.370,251,33,21,22,67,0.4294,0.1152,0.8784,-24.9023,-3.9062,-7.9956,0,1,0,0,0
29.470,100.429,248,34,21,22,67,0.4553,0.1631,0.8175,13.2446,13.6108,10.2539,0,1,0,0,0
29.480,100.429,250,33,21,22,66,0.4188,0.1670,0.8879,-7.0190,-15.5029,-5.5542,0,1,0,0,0
29.490,100.431,249,34,21,22,67,0.4150,0.1348,0.8815,-1.7700,0.0610,-0.9155,0,1,0,0,0
29.470,100.430,248,33,21,22,68,0.4185,0.1543,0.8615,-5.9814,-5.9204,1.9531,0,1,0,0,0
29.480,100.429,248,34,22,22,69,0.3953,0.1471,0.8969,-4.9438,-8.6060,-3.1128,0,1,0,0,0
29.490,100.383,249,34,22,23,69,0.3882,0.1586,0.8842,4.8218,4.6387,3.3569,0,1,0,0,0
29.490,100.423,247,34,21,22,69,0.4015,0.1421,0.8369,1.7090,-5.4321,-0.7935,0,1,0,0,0
29.480,100.424,251,34,22,23,69,0.4124,0.1182,0.9028,-12.3901,-6.4697,-6.8359,0,1,0,0,0
29.480,100.427,252,35,22,23,70,0.3560,0.1453,0.8640,1.6479,-15.1978,16.8457,0,1,0,0,0
29.480,100.425,251,36,23,24,72,0.3123,0.1772,0.9744,-25.1465,-15.0146,-17.2119,0,1,0,0,0
29.480,100.422,250,37,24,25,75,0.3795,0.0936,0.8358,17.8223,17.9443,6.4087,0,1,0,0,0
29.500,100.430,252,37,24,25,74,0.3234,0.2151,0.9370,-15.3809,-12.4512,3.4180,0,1,0,0,0
29.510,100.329,250,38,25,25,76,0.3419,0.1793,0.8411,7.6904,20.0195,15.0146,0,1,0,0,0
29.500,100.427,249,37,24,25,74,0.2980,0.3135,0.9241,-5.6763,-21.0571,13.9160,0,1,0,0,0
29.490,100.432,250,39,25,26,77,0.3445,0.0854,0.8514,-1.0986,10.4370,-26.2451,0,1,0,0,0
29.500,100.431,251,38,24,25,75,0.3104,0.2322,0.9363,8.3618,-7.2021,17.1509,0,1,0,0,0
29.500,100.427,251,38,24,25,76,0.3407,0.1636,0.8904,0.3052,0.6714,-2.1362,0,1,0,0,0
29.510,100.426,250,38,24,25,76,0.3413,0.1691,0.8678,5.2490,1.5869,1.3428,0,1,0,0,0
29.530,100.413,250,38,24,25,76,0.3367,0.1713,0.9167,-4.3945,1.2207,-7.0190,0,1,0,0,0
29.520,100.392,252,38,24,25,75,0.3411,0.1884,0.8948,3.7231,0.7324,5.1880,0,1,0,0,0
29.510,100.427,249,38,24,25,75,0.3260,0.1941,0.9033,-4.1504,-1.7700,-4.3945,0,1,0,0,0
29.500,100.425,251,38,24,25,75,0.3473,0.1428,0.8987,-3.1738,-1.9531,-0.5493,0,1,0,0,0
29.510,100.427,251,38,24,25,75,0.3203,0.1923,0.9020,-3.7842,3.2959,-0.5493,0,1,0,0,0
29.500,100.429,249,37,24,25,74,0.3479,0.1693,0.8932,-1.1597,-1.7700,-1.2817,0,1,0,0,0
29.480,100.433,250,38,24,25,74,0.3251,0.1731,0.9349,-9.3384,-6.3477,-0.6104,0,1,0,0,0
29.480,100.342,252,38,24,25,75,0.3265,0.1793,0.8893,3.8452,2.2583,7.7515,0,1,0,0,0
29.480,100.429,248,38,24,25,75,0.3486,0.1768,0.8763,-3.1128,5.6763,-5.3101,0,1,0,0,0
29.490,100.426,248,38,24,25,75,0.3481,0.1526,0.8942,-5.2490,-1.7700,-2.7466,0,1,0,0,0
29.480,100.428,251,38,24,25,75,0.3501,0.1781,0.8892,6.7139,7.2021,1.0986,0,1,0,0,0
29.500,100.431,252,37,24,25,74,0.3468,0.1694,0.8867,-6.3477,-1.4038,-5.5542,0,1,0,0,0
29.500,100.424,251,37,24,25,74,0.3373,0.1442,0.9238,-5.7373,-2.2583,-2.6245,0,1,0,0,0
29.500,100.422,250,38,24,25,75,0.3280,0.2198,0.8921,9.7046,-0.1221,10.9253,0,1,0,0,0
29.500,100.378,250,37,23,24,73,0.3464,0.1345,0.8776,-2.4414,-3.8452,-8.8501,0,1,0,0,0
29.510,100.428,251,37,24,25,74,0.3472,0.1254,0.9166,-2.9297,7.5684,-2.3193,0,1,0,0,0
29.510,100.427,251,37,23,24,73,0.3058,0.2452,0.8997,7.0190,-4.9438,19.8975,0,1,0,0,0
29.510,100.427,249,37,23,24,73,0.3416,0.1378,0.8994,-20.2026,2.2583,-23.3154,0,1,0,0,0
29.510,100.429,250,37,23,24,73,0.3350,0.1648,0.8868,7.1411,-2.9907,12.2681,0,1,0,0,0
29.510,100.428,248,37,23,24,73,0.3452,0.1487,0.9207,-7.3853,4.0283,-8.3618,0,1,0,0,0
29.510,100.361,251,37,23,24,72,0.3363,0.1919,0.8732,10.3760,1.5259,9.3994,0,1,0,0,0
29.520,100.422,250,36,23,24,72,0.3247,0.1519,0.9358,-16.4795,-7.0801,-12.0239,0,1,0,0,0
29.510,100.431,250,36,23,24,72,0.3395,0.1592,0.8950,6.7139,5.9814,6.2866,0,1,0,0,0
29.520,100.425,249,36,23,24,71,0.3247,0.1794,0.9160,-6.9580,-7.5073,-1.0376,0,1,0,0,0
29.520,100.428,251,36,23,24,72,0.3406,0.1362,0.8721,3.4180,4.0283,1.2817,0,1,0,0,0
29.510,100.424,252,36,23,24,71,0.3455,0.1689,0.9274,-8.6060,0.5493,-6.4087,0,1,0,0,0
29.520,100.433,250,36,23,24,71,0.3030,0.1885,0.9253,5.7983,-5.6763,6.9580,0,1,0,0,0
29.510,100.376,250,36,23,24,71,0.3528,0.1096,0.8906,-6.7749,-5.2490,-2.6245,0,1,0,0,0
29.530,100.431,250,36,23,24,71,0.3544,0.1489,0.8759,1.0376,5.1880,5.6763,0,1,0,0,0
29.520,100.429,252,36,23,24,73,0.2826,0.1748,0.9110,-11.8408,-20.9961,14.7705,0,1,0,0,0
29.500,100.419,248,38,25,26,76,0.3002,0.1844,1.0361,-76.2939,-26.7944,-7.4463,0,1,0,0,0
