accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left
-0.2042,-0.0704,1.0337,-7.8735,-36.7432,-7.5073,1,0,0,0
-0.0629,-0.0839,0.9950,20.6909,-14.1602,-26.8555,0,1,0,0
-0.1920,-0.0754,0.8447,7.6294,-15.3809,23.5596,1,0,0,0
-0.0923,-0.1722,0.8768,30.0903,-28.8696,-16.9678,0,0,1,0
-0.3480,-0.1947,0.8616,25.0854,-21.7896,35.7056,1,0,0,0
-0.5135,-0.1951,0.8708,18.7988,-2.4414,61.5234,1,0,0,0
-0.5787,-0.2444,0.9922,11.4136,-7.9956,13.2446,1,0,0,0
-0.4554,-0.3210,1.0415,6.5308,-2.6855,-5.5542,1,0,0,0
-0.3181,-0.2924,0.9612,-3.1738,11.9019,-7.1411,0,0,1,0
-0.2605,-0.2510,0.8955,-8.4839,3.0518,-11.3525,0,0,1,0
-0.2897,-0.2590,0.8785,-3.3569,4.2725,-5.8594,0,0,1,0
-0.3467,-0.2821,0.9075,-4.5166,-22.5220,-12.4512,0,0,1,0
-0.4047,-0.2637,0.9106,-16.4795,-10.6201,-3.7842,1,0,0,0
-0.3661,-0.2706,0.9598,-14.7095,19.1650,18.1885,0,0,1,0
-0.3259,-0.2772,0.9922,-42.2363,27.2217,30.9448,0,0,1,0
-0.3514,-0.1018,0.8546,-36.1328,35.0952,24.5361,1,0,0,0
-0.2053,-0.1310,0.9856,-18.0664,16.8457,11.1694,0,0,1,0
-0.1160,-0.0963,0.9761,1.1597,39.0015,5.3711,0,0,1,0
-0.0834,-0.0723,0.9128,-13.1836,15.8081,-11.4136,0,1,0,0
-0.0479,-0.0580,0.9404,-14.4653,-24.4141,-26.9775,0,1,0,0
-0.1304,-0.0912,1.0021,14.5264,-45.8374,-33.4473,0,0,1,0
-0.1001,0.0803,0.8046,-4.8828,-42.9688,-66.3452,0,0,0,1
-0.2402,0.0504,1.0201,22.2168,63.3545,7.3242,1,0,0,0
0.1239,-0.3049,1.0474,25.0244,26.7334,-39.1235,0,0,1,0
0.1140,-0.1055,0.8726,-12.1460,7.2632,23.3765,0,1,0,0
-0.1465,-0.0444,0.9888,-7.6294,1.4648,12.0239,0,0,1,0
-0.0988,-0.0654,0.9464,0.7324,-0.1831,1.0376,0,0,1,0
-0.0992,-0.0942,0.9844,2.2583,-1.5869,1.8311,0,0,1,0
-0.1168,-0.1018,0.9650,-4.7607,-3.4180,-1.7090,0,0,1,0
-0.1221,-0.1095,0.9960,0.6714,-0.6714,-2.0752,0,0,1,0
-0.0848,-0.1116,0.9927,-3.1128,0.1831,3.6011,0,0,1,0
-0.1310,-0.0663,0.9609,-5.7983,1.8921,2.3804,0,0,1,0
-0.0945,-0.0757,0.9744,-2.8076,-1.5869,-4.4556,0,0,1,0
-0.0979,-0.0952,0.9979,1.2817,-0.6104,-0.4883,0,0,1,0
-0.0885,-0.0867,0.9752,1.4038,0.1831,1.2207,0,0,1,0
-0.0999,-0.0961,0.9991,-1.2817,-0.3662,0.2441,0,0,1,0
-0.0874,-0.0859,0.9840,-2.7466,0.3662,2.3804,0,0,1,0
-0.0854,-0.0662,0.9717,-1.8311,1.0986,2.8076,0,1,0,0
-0.0663,-0.1016,1.0123,-2.4414,0.8545,-0.1831,0,0,1,0
-0.0615,-0.0662,0.9666,-2.5635,-1.0376,2.0142,0,1,0,0
-0.0016,-0.0616,0.9750,-3.6011,-16.3574,-10.5591,0,1,0,0
0.0049,-0.0975,0.9889,-17.3950,-17.4561,-8.9111,0,1,0,0
-0.1112,0.0055,0.8739,-34.9121,-4.6387,7.4463,0,0,0,1
-0.2119,0.0297,0.8643,17.6392,-13.3667,-3.7842,1,0,0,0
-0.0760,-0.0599,0.8755,-0.9766,-2.8687,43.3960,0,1,0,0
-0.0878,-0.1998,1.0935,13.7329,-2.1973,38.9404,0,0,1,0
-0.4321,-0.0696,0.9122,21.0571,-16.7847,24.2310,1,0,0,0
-0.4689,-0.1312,0.9733,-19.1650,-20.2637,14.6484,1,0,0,0
