,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
4829,605,2997,1580,21,720,1006,1187,2961,0,0
6259,1398,56,1762,772,1,10,3365,2949,0,1
6323,2073,3981,816,1099,528,594,7735,8659,0,0
373,1326,158,1138,622,793,1177,3025,4735,0,1
7403,571,90,1778,3,21,270,1883,6899,0,1
6227,1332,2027,1658,960,217,546,3012,8503,0,0
4253,342,2534,857,572,66,880,2846,9033,0,0
4539,632,2321,2215,290,1030,1472,1459,8078,0,0
321,2466,3730,2099,1231,797,1250,8669,4671,0,0
4977,334,3763,1294,6,24,9,2362,2273,0,0
4534,1510,2924,1523,21,1156,1005,4464,3367,0,0
1393,2436,2747,525,657,144,1084,8617,4383,0,1
3315,3060,2246,284,19,1071,1288,9835,5112,0,1
2458,2308,3274,1127,26,206,23,8276,2993,0,0
7510,2011,2396,1268,367,12,416,6998,5133,0,1
7420,366,943,2042,1110,630,75,3642,4304,0,0
518,191,1495,1268,1408,975,637,4814,9409,0,0
3209,3508,427,1746,20,708,1298,7167,3555,0,1
735,1470,57,1465,781,20,85,3885,4186,0,1
958,2717,527,649,1111,331,38,9200,4437,0,1
9550,2015,255,1452,486,349,21,6834,712,0,1
4239,4397,3576,51,907,973,987,9713,7982,0,1
311,2121,1489,1769,962,362,321,6911,6409,0,0
7802,572,1946,1865,1,23,15,1838,3112,0,1
8085,3276,3008,1556,14,722,991,5693,889,0,0
6217,961,114,1561,202,722,2,492,164,0,1
1631,4243,3016,293,1372,640,38,9234,4361,0,1
450,1419,2293,728,1117,942,370,3924,6474,0,0
8619,3851,1360,2262,639,1006,1776,8472,9143,0,1
92,894,741,1666,781,1144,1637,118,8974,0,0
6306,1184,1990,1455,484,749,1418,2017,7638,0,0
7100,267,2997,1585,6,727,992,3377,659,0,0
4842,602,2875,1657,485,207,1535,1258,8348,0,0
4742,64,1923,1865,126,677,1298,5039,9054,0,1
4541,3494,3408,2376,767,1204,1192,6859,4769,0,0
7692,3491,1264,2216,79,1304,787,7415,8761,0,1
9976,1130,1516,2135,1329,1379,1581,684,6277,0,0
5620,607,221,1741,767,12,8,1674,2614,0,1
4982,295,3754,1265,21,1,991,2639,1226,0,0
8573,4164,2697,1025,1417,217,1074,9060,9260,0,1
4766,3239,2456,1578,202,5,982,5688,593,0,1
6418,1674,2260,1483,19,4,4,5246,845,0,1
8401,3420,1990,1883,1231,2,13,6705,6699,0,1
88,2533,1530,1533,122,914,1257,8537,6319,0,0
5317,1031,131,1738,30,0,1,909,161,0,0
